# PeTrack project: 010_c_12_h0.pet
# raw trajectory file: 010_c_12_h0.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
id frame x/m y/m z/m
4 12 0.385558 2.24947 1.76
4 13 0.391163 2.24211 1.76
4 14 0.392079 2.23107 1.76
4 15 0.398299 2.22335 1.76
4 16 0.402283 2.21374 1.76
4 17 0.402875 2.20609 1.76
4 18 0.402241 2.20038 1.76
4 19 0.395789 2.19027 1.76
4 20 0.391407 2.1856 1.76
4 21 0.384211 2.17745 1.76
4 22 0.375598 2.16871 1.76
4 23 0.365533 2.16079 1.76
4 24 0.339344 2.14921 1.76
4 25 0.330384 2.13747 1.76
4 26 0.315002 2.12582 1.76
4 27 0.301657 2.10946 1.76
4 28 0.2866 2.09088 1.76
4 29 0.270544 2.06755 1.76
4 30 0.261345 2.04197 1.76
4 31 0.252353 2.02345 1.76
4 32 0.249654 2.00029 1.76
4 33 0.249201 1.9818 1.76
4 34 0.254858 1.9617 1.76
4 35 0.256538 1.93573 1.76
4 36 0.27519 1.91147 1.76
4 37 0.284659 1.88069 1.76
4 38 0.300864 1.85785 1.76
4 39 0.316876 1.83058 1.76
4 40 0.335055 1.80789 1.76
4 41 0.349587 1.77897 1.76
4 42 0.3654 1.75122 1.76
4 43 0.376459 1.72094 1.76
4 44 0.385831 1.69247 1.76
4 45 0.393092 1.66377 1.76
4 46 0.397809 1.63433 1.76
4 47 0.399876 1.61204 1.76
4 48 0.40032 1.5907 1.76
4 49 0.388839 1.55829 1.76
4 50 0.385587 1.54794 1.76
4 51 0.368919 1.51751 1.76
4 52 0.357875 1.49402 1.76
4 53 0.348911 1.4706 1.76
4 54 0.350592 1.45993 1.76
4 55 0.339353 1.42818 1.76
4 56 0.347638 1.42048 1.76
4 57 0.350887 1.40311 1.76
4 58 0.353856 1.3845 1.76
4 59 0.360576 1.36581 1.76
4 60 0.36281 1.34578 1.76
4 61 0.368675 1.32822 1.76
4 62 0.371312 1.30955 1.76
4 63 0.373951 1.29334 1.76
4 64 0.380808 1.27659 1.76
4 65 0.382508 1.26348 1.76
4 66 0.384798 1.24645 1.76
4 67 0.386022 1.2309 1.76
4 68 0.391431 1.21818 1.76
4 69 0.398221 1.20397 1.76
4 70 0.404631 1.18845 1.76
4 71 0.412934 1.17128 1.76
4 72 0.417529 1.14589 1.76
4 73 0.426802 1.12964 1.76
4 74 0.430105 1.11348 1.76
4 75 0.429358 1.09539 1.76
4 76 0.428779 1.08136 1.76
4 77 0.420223 1.06543 1.76
4 78 0.413661 1.04952 1.76
4 79 0.403178 1.03369 1.76
4 80 0.389016 1.02387 1.76
4 81 0.376621 1.00812 1.76
4 82 0.361023 0.996306 1.76
4 83 0.346101 0.982893 1.76
4 84 0.330172 0.97101 1.76
4 85 0.313993 0.955425 1.76
4 86 0.299809 0.939863 1.76
4 87 0.291517 0.924295 1.76
4 88 0.285254 0.910699 1.76
4 89 0.282957 0.899045 1.76
4 90 0.280607 0.885474 1.76
4 91 0.280091 0.868053 1.76
4 92 0.279691 0.854539 1.76
4 93 0.281115 0.837192 1.76
4 94 0.286521 0.823702 1.76
4 95 0.291796 0.806416 1.76
4 96 0.299045 0.791074 1.76
4 97 0.30242 0.7758 1.76
4 98 0.307712 0.760552 1.76
4 99 0.314974 0.747222 1.76
4 100 0.322909 0.736828 1.76
4 101 0.329771 0.730086 1.76
4 102 0.33322 0.718739 1.76
4 103 0.338643 0.70928 1.76
4 104 0.338247 0.698002 1.76
4 105 0.33805 0.692371 1.76
4 106 0.330009 0.681182 1.76
4 107 0.32402 0.673739 1.76
4 108 0.314096 0.6626 1.76
4 109 0.304071 0.647757 1.76
4 110 0.290378 0.636694 1.76
4 111 0.274753 0.623812 1.76
4 112 0.254897 0.608029 1.76
4 113 0.247453 0.59995 1.76
4 114 0.235381 0.587086 1.76
4 115 0.224005 0.574318 1.76
4 116 0.211482 0.558249 1.76
4 117 0.20809 0.543255 1.76
4 118 0.20576 0.52501 1.76
4 119 0.203524 0.510458 1.76
4 120 0.206808 0.490464 1.76
4 121 0.203338 0.466976 1.76
4 122 0.204566 0.448191 1.76
4 123 0.212713 0.425547 1.76
4 124 0.212266 0.40766 1.76
4 125 0.212043 0.398737 1.76
4 126 0.211732 0.386269 1.76
4 127 0.211342 0.376209 1.76
4 128 0.203887 0.370331 1.76
4 129 0.201983 0.368569 1.76
4 130 0.194538 0.368621 1.76
4 131 0.187094 0.368673 1.76
4 132 0.177788 0.368737 1.76
4 133 0.168482 0.368802 1.76
4 134 0.161767 0.375203 1.76
4 135 0.154368 0.379661 1.76
4 136 0.143735 0.381584 1.76
4 137 0.13283 0.381873 1.76
4 138 0.124023 0.381543 1.76
4 139 0.116569 0.381595 1.76
4 140 0.113537 0.384711 1.76
4 141 0.109114 0.381647 1.76
4 142 0.110892 0.376303 1.76
4 143 0.116363 0.369164 1.76
4 144 0.123625 0.358478 1.76
4 145 0.136448 0.347775 1.76
4 146 0.14739 0.337105 1.76
4 147 0.156386 0.322948 1.76
4 148 0.159768 0.30711 1.76
4 149 0.163141 0.291317 1.76
4 150 0.162776 0.273848 1.76
4 151 0.162376 0.254697 1.76
4 152 0.16378 0.233866 1.76
4 153 0.161543 0.214863 1.76
4 154 0.159279 0.194206 1.76
4 155 0.153434 0.177076 1.76
4 156 0.145746 0.158302 1.76
4 157 0.131484 0.146075 1.76
4 158 0.117849 0.129519 1.76
4 159 0.101185 0.11266 1.76
4 160 0.0863882 0.0958396 1.76
4 161 0.0661943 0.0791058 1.76
4 162 0.0442145 0.0590775 1.76
4 163 0.0258994 0.0357567 1.76
4 164 0.0112552 0.0108484 1.76
4 165 -0.00332246 -0.0139466 1.76
4 166 -0.0178421 -0.0402763 1.76
4 167 -0.0269146 -0.0648734 1.76
4 168 -0.0323676 -0.0877496 1.76
4 169 -0.0324428 -0.108937 1.76
4 170 -0.0314518 -0.128556 1.76
4 171 -0.0263893 -0.152648 1.76
4 172 -0.0184101 -0.175557 1.76
4 173 -0.0115723 -0.204181 1.76
4 174 -0.00398317 -0.230653 1.76
4 175 0.00395303 -0.258324 1.76
4 176 0.0107554 -0.288326 1.76
4 177 0.0142635 -0.316452 1.76
4 178 0.0162352 -0.343234 1.76
4 179 0.0171028 -0.367955 1.76
4 180 0.0220902 -0.394246 1.76
4 181 0.0201275 -0.420364 1.76
4 182 0.0216689 -0.441795 1.76
4 183 0.0190571 -0.463749 1.76
4 184 0.0159457 -0.486608 1.76
4 185 0.0121176 -0.509693 1.76
4 186 0.00751646 -0.532039 1.76
4 187 0.0020841 -0.556254 1.76
4 188 -0.00673973 -0.583727 1.76
4 189 -0.0173775 -0.61727 1.76
4 190 -0.0294765 -0.65571 1.76
4 191 -0.0402926 -0.694334 1.76
4 192 -0.0491267 -0.730076 1.76
4 193 -0.053841 -0.763695 1.76
4 194 -0.0579679 -0.797922 1.76
4 195 -0.0631773 -0.832021 1.76
4 196 -0.0638522 -0.863778 1.76
4 197 -0.0629641 -0.897096 1.76
4 198 -0.061392 -0.93197 1.76
4 199 -0.0585436 -0.968607 1.76
4 200 -0.0535378 -1.00569 1.76
4 201 -0.0468305 -1.04343 1.76
4 202 -0.0388777 -1.0818 1.76
4 203 -0.0295828 -1.12384 1.76
4 204 -0.018771 -1.16797 1.76
4 205 -0.00720423 -1.21222 1.76
4 206 0.00330133 -1.25519 1.76
4 207 0.0135514 -1.29665 1.76
4 208 0.0238278 -1.33501 1.76
4 209 0.0339846 -1.37179 1.76
4 210 0.0441394 -1.40658 1.76
4 211 0.0542758 -1.44129 1.76
4 212 0.0647353 -1.47615 1.76
4 213 0.0747903 -1.51123 1.76
4 214 0.0847838 -1.54883 1.76
4 215 0.0960331 -1.58645 1.76
4 216 0.105172 -1.61829 1.76
4 217 0.114905 -1.64883 1.76
4 218 0.127478 -1.67936 1.76
4 219 0.142489 -1.71116 1.76
4 220 0.162452 -1.7437 1.76
4 221 0.185552 -1.77402 1.76
5 0 0.144394 2.75219 1.76
5 1 0.142146 2.7522 1.76
5 2 0.135323 2.74711 1.76
5 3 0.133076 2.74714 1.76
5 4 0.126222 2.73946 1.76
5 5 0.126185 2.73688 1.76
5 6 0.117059 2.72667 1.76
5 7 0.107914 2.7139 1.76
5 8 0.0989123 2.71143 1.76
5 9 0.0898532 2.70381 1.76
5 10 0.0897629 2.69611 1.76
5 11 0.0851664 2.68591 1.76
5 12 0.0829824 2.67999 1.76
5 13 0.0853009 2.67105 1.76
5 14 0.0885874 2.65764 1.76
5 15 0.0923858 2.64282 1.76
5 16 0.0964712 2.62955 1.76
5 17 0.10134 2.62213 1.76
5 18 0.106716 2.62199 1.76
5 19 0.115453 2.60923 1.76
5 20 0.117608 2.60414 1.76
5 21 0.124174 2.59649 1.76
5 22 0.132879 2.58378 1.76
5 23 0.143866 2.5761 1.76
5 24 0.154799 2.56592 1.76
5 25 0.167888 2.55321 1.76
5 26 0.17648 2.53808 1.76
5 27 0.18284 2.52299 1.76
5 28 0.184817 2.51048 1.76
5 29 0.184488 2.49303 1.76
5 30 0.186458 2.48058 1.76
5 31 0.184066 2.47066 1.76
5 32 0.177139 2.45338 1.76
5 33 0.174894 2.45093 1.76
5 34 0.174759 2.44351 1.76
5 35 0.172383 2.43366 1.76
5 36 0.165618 2.42386 1.76
5 37 0.163252 2.41403 1.76
5 38 0.160889 2.40422 1.76
5 39 0.154106 2.39201 1.76
5 40 0.147256 2.37492 1.76
5 41 0.140462 2.36032 1.76
5 42 0.131425 2.34091 1.76
5 43 0.124665 2.32638 1.76
5 44 0.115639 2.30463 1.76
5 45 0.113195 2.28531 1.76
5 46 0.112928 2.26602 1.76
5 47 0.112529 2.23718 1.76
5 48 0.107842 2.2109 1.76
5 49 0.105362 2.18708 1.76
5 50 0.102828 2.15861 1.76
5 51 0.102453 2.13023 1.76
5 52 0.106367 2.10193 1.76
5 53 0.110233 2.07141 1.76
5 54 0.118314 2.03867 1.76
5 55 0.126321 2.00376 1.76
5 56 0.134248 1.96674 1.76
5 57 0.146325 1.9276 1.76
5 58 0.158369 1.89096 1.76
5 59 0.168201 1.85229 1.76
5 60 0.173694 1.80938 1.76
5 61 0.179143 1.7706 1.76
5 62 0.180062 1.73549 1.76
5 63 0.180319 1.70536 1.76
5 64 0.187348 1.67545 1.76
5 65 0.191968 1.64972 1.76
5 66 0.19248 1.62756 1.76
5 67 0.186366 1.60785 1.76
5 68 0.186012 1.59044 1.76
5 69 0.177427 1.57316 1.76
5 70 0.174409 1.5554 1.76
5 71 0.164431 1.53869 1.76
5 72 0.158886 1.51614 1.76
5 73 0.151353 1.49583 1.76
