,t,NT,motivation,num
461,18.44,25.0,high,0.0
462,18.48,25.0,high,0.0
463,18.52,25.0,high,0.0
464,18.56,25.0,high,0.0
465,18.6,25.0,high,0.0
466,18.64,25.0,high,0.0
467,18.68,25.0,high,0.0
468,18.72,25.0,high,0.0
469,18.76,25.0,high,0.0
470,18.8,25.0,high,0.0
471,18.84,25.0,high,0.0
472,18.88,25.0,high,0.0
473,18.92,26.0,high,0.0
474,18.96,26.0,high,0.0
475,19.0,26.0,high,0.0
476,19.04,26.0,high,0.0
477,19.08,26.0,high,0.0
478,19.12,26.0,high,0.0
479,19.16,26.0,high,0.0
480,19.2,26.0,high,0.0
481,19.24,26.0,high,0.0
482,19.28,26.0,high,0.0
483,19.32,26.0,high,0.0
484,19.36,26.0,high,0.0
485,19.4,26.0,high,0.0
486,19.44,26.0,high,0.0
487,19.48,26.0,high,0.0
488,19.52,26.0,high,0.0
489,19.56,26.0,high,0.0
490,19.6,26.0,high,0.0
491,19.64,26.0,high,0.0
492,19.68,26.0,high,0.0
493,19.72,26.0,high,0.0
494,19.76,26.0,high,0.0
495,19.8,26.0,high,0.0
496,19.84,26.0,high,0.0
497,19.88,26.0,high,0.0
498,19.92,26.0,high,0.0
499,19.96,26.0,high,0.0
500,20.0,26.0,high,0.0
501,20.04,26.0,high,0.0
502,20.08,26.0,high,0.0
503,20.12,26.0,high,0.0
504,20.16,26.0,high,0.0
505,20.2,26.0,high,0.0
506,20.24,26.0,high,0.0
507,20.28,26.0,high,0.0
508,20.32,26.0,high,0.0
509,20.36,26.0,high,0.0
510,20.4,26.0,high,0.0
511,20.44,26.0,high,0.0
512,20.48,26.0,high,0.0
513,20.52,26.0,high,0.0
514,20.56,26.0,high,0.0
515,20.6,26.0,high,0.0
516,20.64,26.0,high,0.0
517,20.68,26.0,high,0.0
518,20.72,26.0,high,0.0
519,20.76,26.0,high,0.0
520,20.8,27.0,high,0.0
521,20.84,27.0,high,0.0
522,20.88,27.0,high,0.0
523,20.92,27.0,high,0.0
524,20.96,27.0,high,0.0
525,21.0,27.0,high,0.0
526,21.04,27.0,high,0.0
527,21.08,27.0,high,0.0
528,21.12,27.0,high,0.0
529,21.16,27.0,high,0.0
530,21.2,27.0,high,0.0
531,21.24,27.0,high,0.0
532,21.28,27.0,high,0.0
533,21.32,27.0,high,0.0
534,21.36,27.0,high,0.0
535,21.4,27.0,high,0.0
536,21.44,27.0,high,0.0
537,21.48,27.0,high,0.0
538,21.52,27.0,high,0.0
539,21.56,27.0,high,0.0
540,21.6,27.0,high,0.0
541,21.64,27.0,high,0.0
542,21.68,28.0,high,0.0
543,21.72,28.0,high,0.0
544,21.76,28.0,high,0.0
545,21.8,28.0,high,0.0
546,21.84,28.0,high,0.0
547,21.88,28.0,high,0.0
548,21.92,28.0,high,0.0
549,21.96,28.0,high,0.0
550,22.0,28.0,high,0.0
551,22.04,28.0,high,0.0
552,22.08,28.0,high,0.0
553,22.12,28.0,high,0.0
554,22.16,28.0,high,0.0
555,22.2,28.0,high,0.0
556,22.24,28.0,high,0.0
557,22.28,28.0,high,0.0
558,22.32,29.0,high,0.0
559,22.36,29.0,high,0.0
560,22.4,29.0,high,0.0
561,22.44,29.0,high,0.0
562,22.48,29.0,high,0.0
563,22.52,29.0,high,0.0
564,22.56,29.0,high,0.0
565,22.6,29.0,high,0.0
566,22.64,29.0,high,0.0
567,22.68,29.0,high,0.0
568,22.72,29.0,high,0.0
569,22.76,29.0,high,0.0
570,22.8,29.0,high,0.0
571,22.84,29.0,high,0.0
572,22.88,29.0,high,0.0
573,22.92,29.0,high,0.0
574,22.96,29.0,high,0.0
575,23.0,29.0,high,0.0
576,23.04,30.0,high,0.0
577,23.08,30.0,high,0.0
578,23.12,30.0,high,0.0
579,23.16,30.0,high,0.0
580,23.2,30.0,high,0.0
581,23.24,30.0,high,0.0
582,23.28,30.0,high,0.0
583,23.32,30.0,high,0.0
584,23.36,31.0,high,0.0
585,23.4,31.0,high,0.0
586,23.44,31.0,high,0.0
587,23.48,31.0,high,0.0
588,23.52,31.0,high,0.0
589,23.56,31.0,high,0.0
590,23.6,31.0,high,0.0
591,23.64,31.0,high,0.0
592,23.68,31.0,high,0.0
593,23.72,31.0,high,0.0
594,23.76,31.0,high,0.0
595,23.8,31.0,high,0.0
596,23.84,31.0,high,0.0
597,23.88,31.0,high,0.0
598,23.92,31.0,high,0.0
599,23.96,31.0,high,0.0
600,24.0,31.0,high,0.0
601,24.04,31.0,high,0.0
602,24.08,31.0,high,0.0
603,24.12,31.0,high,0.0
604,24.16,31.0,high,0.0
605,24.2,31.0,high,0.0
606,24.24,31.0,high,0.0
607,24.28,31.0,high,0.0
608,24.32,31.0,high,0.0
609,24.36,31.0,high,0.0
610,24.4,31.0,high,0.0
611,24.44,31.0,high,0.0
612,24.48,32.0,high,0.0
613,24.52,32.0,high,0.0
614,24.56,33.0,high,0.0
615,24.6,33.0,high,0.0
616,24.64,33.0,high,0.0
617,24.68,33.0,high,0.0
618,24.72,33.0,high,0.0
619,24.76,33.0,high,0.0
620,24.8,33.0,high,0.0
621,24.84,33.0,high,0.0
622,24.88,33.0,high,0.0
623,24.92,33.0,high,0.0
624,24.96,33.0,high,0.0
625,25.0,33.0,high,0.0
626,25.04,33.0,high,0.0
627,25.08,33.0,high,0.0
628,25.12,33.0,high,0.0
629,25.16,33.0,high,0.0
630,25.2,33.0,high,0.0
631,25.24,33.0,high,0.0
